Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,4/11/2022,39521.90234,42201.03906,42424.58984,39373.05859
BTC,4/12/2022,40127.18359,39533.71484,40617.58594,39388.32813
BTC,4/13/2022,41166.73047,40123.57031,41430.05469,39712.74609
BTC,4/14/2022,39935.51563,41160.21875,41451.48047,39695.74609
BTC,4/15/2022,40553.46484,39939.40234,40617.72266,39866.83203
BTC,4/16/2022,40424.48438,40552.31641,40633.67969,40078.42578
BTC,4/17/2022,39716.95313,40417.77734,40570.72656,39620.89453
BTC,4/18/2022,40826.21484,39721.20313,40986.32031,38696.19141
BTC,4/19/2022,41502.75,40828.17578,41672.96094,40618.63281
BTC,4/20/2022,41374.37891,41501.74609,42126.30078,40961.09766
BTC,4/21/2022,40527.36328,41371.51563,42893.58203,40063.82813
BTC,4/22/2022,39740.32031,40525.86328,40777.75781,39315.41797
BTC,4/23/2022,39486.73047,39738.72266,39935.85938,39352.20313
BTC,4/24/2022,39469.29297,39478.375,39845.92578,39233.53906
BTC,4/25/2022,40458.30859,39472.60547,40491.75391,38338.37891
BTC,4/26/2022,38117.46094,40448.42188,40713.89063,37884.98438
BTC,4/27/2022,39241.12109,38120.30078,39397.91797,37997.3125
BTC,4/28/2022,39773.82813,39241.42969,40269.46484,38941.42188
BTC,4/29/2022,38609.82422,39768.61719,39887.26953,38235.53516
BTC,4/30/2022,37714.875,38605.85938,38771.21094,37697.94141
BTC,5/1/2022,38469.09375,37713.26563,38627.85938,37585.78906
BTC,5/2/2022,38529.32813,38472.1875,39074.97266,38156.5625
BTC,5/3/2022,37750.45313,38528.10938,38629.99609,37585.62109
BTC,5/4/2022,39698.37109,37748.01172,39902.94922,37732.05859
BTC,5/5/2022,36575.14063,39695.74609,39789.28125,35856.51563
BTC,5/6/2022,36040.92188,36573.18359,36624.35938,35482.13281
BTC,5/7/2022,35501.95313,36042.50391,36129.92578,34940.82422
BTC,5/8/2022,34059.26563,35502.94141,35502.94141,33878.96484
